"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","enroll_total","ucCsu_total"
"1","10140_2013-14",13,609,1644,52,23,1057,1284,128,3974,27,0,4,29,0,0,22,11,2341,1306
"2","10140_2014-15",14,463,1880,50,30,1131,1306,1425,2840,55,0,2,36,1,0,23,16,2437,1329
"3","10140_2015-16",10,318,1619,34,33,956,1058,883,2736,33,0,14,45,0,0,32,27,2014,1090
"4","10140_2016-17",8,311,1534,48,45,896,1050,1418,1350,33,0,13,47,0,0,41,19,1946,1091
"5","10280_2015-16",1,6,80,22,2,37,74,635,1150,1,0,0,0,0,0,0,0,111,74
"6","10330_2013-14",40,309,1987,1228,217,1670,2111,1685,6693,73,2,1,16,34,8,39,22,3781,2150
"7","10330_2014-15",51,255,1858,1140,244,1606,1942,1540,5018,107,1,8,38,32,12,57,34,3548,1999
"8","10330_2015-16",48,300,2006,1124,223,1665,2036,1957,6852,126,3,5,25,31,13,53,24,3701,2089
"9","10330_2016-17",50,304,1983,1148,243,1692,2036,1888,7608,104,1,4,15,30,3,29,24,3728,2065
"10","10470_2015-16",2,4,40,177,45,113,155,460,1952,3,0,0,0,0,0,0,0,268,155
"11","62380_2013-14",16,36,385,51,12,285,215,827,1345,4,0,0,0,0,0,0,0,500,215
"12","62380_2014-15",17,43,492,74,14,370,270,165,1495,10,0,0,0,0,0,0,0,640,270
"13","62380_2015-16",16,54,489,76,17,365,287,784,1466,14,0,2,29,3,0,26,8,652,313
"14","62380_2016-17",17,43,357,36,19,247,225,704,1313,2,0,0,4,1,0,1,4,472,226
"15","62430_2013-14",150,19,2487,183,33,1457,1415,2117,8614,14,14,1,108,11,5,96,43,2872,1511
"16","62430_2014-15",144,15,2526,177,34,1449,1447,1147,9834,32,11,3,107,13,3,83,54,2896,1530
"17","62430_2015-16",150,9,2605,165,29,1454,1504,2448,9889,35,23,1,129,15,4,110,62,2958,1614
"18","62430_2016-17",139,8,2623,149,23,1435,1507,1709,9832,25,24,0,125,14,3,108,58,2942,1615
"19","62810_2014-15",16,5,250,678,117,570,496,1124,2456,9,1,0,17,47,4,43,26,1066,539
"20","62810_2016-17",14,4,272,664,151,562,543,1373,2554,11,2,0,20,59,6,67,20,1105,610
"21","63040_2015-16",5,5,48,243,26,145,182,1466,5256,1,1,0,0,14,3,9,9,327,191
"22","64030_2014-15",9,8,181,403,89,342,348,1041,3443,10,0,0,8,30,5,27,16,690,375
"23","64030_2015-16",8,7,175,396,101,336,351,1817,3032,9,1,0,8,23,3,17,18,687,368
"24","64600_2013-14",23,140,696,594,82,771,764,1583,2555,10,0,0,1,0,0,1,0,1535,765
"25","64790_2013-14",83,262,1704,691,135,1380,1495,2396,8025,24,9,11,69,46,13,75,73,2875,1570
"26","64790_2014-15",88,242,1707,674,146,1348,1509,1906,8268,63,15,12,93,74,13,127,80,2857,1636
"27","64790_2015-16",90,239,1714,602,152,1306,1491,2549,8450,44,6,25,115,65,10,125,96,2797,1616
"28","64790_2016-17",98,200,1635,577,146,1216,1440,3154,8020,27,15,12,113,63,15,130,88,2656,1570
"29","64840_2013-14",292,226,7287,967,485,4439,4818,5908,18696,114,11,5,216,25,15,154,118,9257,4972
"30","64840_2014-15",279,234,7181,886,440,4342,4678,6748,21217,147,32,9,359,58,41,317,182,9020,4995
"31","64840_2015-16",273,215,7119,833,434,4211,4663,6538,19614,160,24,14,415,54,37,325,219,8874,4988
"32","64840_2016-17",298,228,6949,775,409,4148,4511,5961,19360,127,27,11,399,53,37,320,207,8659,4831
"33","64980_2013-14",339,405,1722,2712,318,2611,2885,6182,9448,11,47,24,182,347,37,309,328,5496,3194
"34","64980_2014-15",339,419,1711,2645,313,2615,2812,5682,10557,26,62,34,188,362,39,340,345,5427,3152
"35","64980_2015-16",326,417,1730,2593,414,2625,2855,5268,9531,26,50,44,158,327,46,334,291,5480,3189
"36","64980_2016-17",319,370,1664,2526,447,2604,2722,5699,10264,13,44,36,166,280,61,310,277,5326,3032
"37","65060_2013-14",3518,644,3359,3348,1594,6144,6319,8583,23455,72,423,34,168,330,143,614,484,12463,6933
"38","65060_2014-15",3456,560,3406,3107,1703,6068,6164,9061,19762,86,454,45,204,268,164,655,480,12232,6819
"39","65060_2015-16",3382,533,3475,2977,1762,5988,6141,8458,21420,105,444,36,215,318,161,641,533,12129,6782
"40","65060_2016-17",3282,525,3580,2797,1795,5943,6036,8548,19460,80,426,45,239,266,219,703,492,11979,6739
"41","66290_2014-15",6,7,352,325,9,353,346,1525,3178,2,1,1,28,31,2,44,19,699,390
"42","66290_2016-17",5,4,307,321,11,330,318,2298,2107,1,0,0,17,30,1,30,18,648,348
"43","66530_2014-15",206,19,376,1268,171,992,1048,2104,6024,11,12,2,22,62,8,56,50,2040,1104
"44","66670_2013-14",860,105,22903,1173,369,12989,12421,24181,48581,147,133,13,1360,161,27,1023,671,25410,13444
"45","66670_2014-15",820,96,22784,1151,372,12924,12299,25379,57111,262,121,11,1393,179,61,1114,651,25223,13413
"46","66670_2015-16",836,86,22600,1153,439,12959,12155,22749,59329,219,102,9,1439,188,39,1085,692,25114,13240
"47","66670_2016-17",892,75,22422,1144,455,12874,12114,21023,56503,226,128,8,1460,165,45,1112,694,24988,13226
"48","67090_2013-14",91,208,7399,1085,135,4391,4527,6892,20028,122,11,6,276,53,8,212,142,8918,4739
"49","67090_2014-15",86,194,7504,970,116,4365,4505,5883,20560,155,8,6,306,47,6,228,145,8870,4733
"50","67090_2015-16",90,193,7512,935,135,4375,4490,6709,20813,154,9,9,327,60,8,264,149,8865,4754
"51","67090_2016-17",89,194,7580,861,155,4367,4512,6448,21319,112,8,14,399,56,8,290,195,8879,4802
"52","67330_2013-14",896,649,1438,5123,554,4134,4526,9651,21531,34,96,21,79,376,29,319,282,8660,4845
"53","67330_2014-15",997,633,1542,5139,590,4261,4640,8068,25011,55,100,22,53,400,35,310,300,8901,4950
"54","67330_2015-16",1106,587,1667,5161,650,4458,4713,8439,24043,59,113,24,67,382,52,343,295,9171,5056
"55","67330_2016-17",1217,571,1754,5198,749,4691,4798,7788,21071,87,116,21,76,443,60,381,335,9489,5179
"56","67710_2013-14",209,1324,15692,929,451,8901,9704,12487,35112,294,20,62,738,62,30,531,381,18605,10235
"57","67710_2014-15",210,1226,15667,877,463,8810,9633,11049,39619,322,17,56,846,50,53,568,454,18443,10201
"58","67710_2015-16",224,1170,15434,822,420,8672,9398,10959,44276,338,20,62,944,47,43,665,451,18070,10063
"59","67710_2016-17",200,1100,15336,762,425,8596,9227,10696,44440,337,25,67,1033,52,47,725,499,17823,9952
"60","67850_2013-14",125,1589,9742,579,268,6040,6263,6963,23159,258,11,35,278,27,7,219,139,12303,6482
"61","67850_2014-15",128,1484,9875,515,256,6055,6203,6803,26041,291,22,67,508,26,12,396,239,12258,6599
"62","67850_2015-16",107,1356,9823,474,251,5950,6061,6863,29107,261,6,64,506,30,14,383,237,12011,6444
"63","67850_2016-17",113,1234,9827,436,250,5832,6028,7035,25701,262,17,68,509,22,14,367,263,11860,6395
"64","68130_2013-14",370,1622,7842,10425,2296,10865,11690,4858,11048,91,46,159,631,1162,216,1230,984,22555,12920
"65","68130_2014-15",389,1623,7889,10067,2252,10745,11475,4830,14429,98,60,125,526,837,223,1004,767,22220,12479
"66","68130_2015-16",446,1580,8172,9498,2164,10516,11344,4986,16265,87,62,134,585,823,178,987,795,21860,12331
"67","68130_2016-17",479,1477,8403,9249,2101,10475,11234,5536,16618,76,61,135,729,1003,242,1243,927,21709,12477
"68","68650_2013-14",45,50,545,967,107,833,881,4349,3595,12,3,2,24,49,5,48,35,1714,929
"69","68650_2014-15",51,61,583,1005,147,960,887,3248,4514,7,3,3,18,39,6,36,33,1847,923
"70","68650_2015-16",72,71,643,1045,182,1063,950,3100,4791,12,5,0,25,66,7,68,35,2013,1018
"71","68650_2016-17",93,61,706,1078,245,1127,1056,3187,3910,11,6,2,25,63,10,70,36,2183,1126
"72","68700_2014-15",33,38,573,1445,101,1041,1149,4610,7603,32,2,2,19,117,10,80,70,2190,1229
"73","68700_2015-16",35,40,620,1429,104,1086,1142,4158,7638,38,5,1,20,114,5,77,68,2228,1219
"74","68700_2016-17",38,38,631,1402,104,1068,1145,4474,8590,48,5,0,28,84,0,67,50,2213,1212
"75","68890_2013-14",25,7,692,734,67,750,775,904,4239,8,3,1,29,73,7,61,52,1525,836
"76","68890_2015-16",29,9,759,705,80,756,826,688,4199,4,4,1,42,79,13,71,68,1582,897
"77","68890_2016-17",26,8,777,673,75,754,805,653,3776,4,4,1,40,84,7,80,56,1559,885
"78","69070_2013-14",434,91,1982,324,1604,2126,2309,3442,8470,19,50,4,76,21,124,158,117,4435,2467
"79","69070_2014-15",407,76,1945,324,1523,2042,2233,4681,9594,39,43,4,86,20,136,158,131,4275,2391
"80","69070_2015-16",401,58,1930,297,1502,2035,2153,4464,9826,27,0,0,0,0,0,0,0,4188,2153
"81","69070_2016-17",439,66,1923,285,1459,2043,2129,4284,10384,26,22,0,53,5,59,75,64,4172,2204
"82","69260_2013-14",57,33,637,852,92,814,857,2388,4850,26,0,1,22,41,4,30,38,1671,887
"83","69260_2014-15",58,22,647,842,114,817,866,2315,4684,35,2,0,4,15,3,13,11,1683,879
"84","69260_2016-17",47,14,700,827,140,875,853,2426,4403,20,1,0,4,13,0,8,10,1728,861
"85","69310_2013-14",66,80,6306,915,353,3701,4019,1483,1800,57,10,2,286,73,49,252,168,7720,4271
"86","69310_2014-15",72,101,6411,878,320,3745,4037,1474,4937,52,9,5,296,88,33,259,172,7782,4296
"87","69310_2015-16",78,95,6590,830,307,3844,4056,1696,4189,42,11,3,333,60,34,268,173,7900,4324
"88","69310_2016-17",70,80,6599,780,329,3825,4033,1601,4270,33,6,3,267,52,32,220,140,7858,4253
"89","70540_2013-14",478,1776,3486,1747,2197,4712,4972,8907,22180,128,39,47,116,90,153,270,175,9684,5242
"90","70540_2014-15",514,1721,3540,1715,2062,4650,4902,7955,24931,166,39,43,94,76,138,250,140,9552,5152
"91","70540_2015-16",550,1711,3693,1751,1937,4697,4945,7618,20840,184,51,54,124,102,161,287,205,9642,5232
"92","70540_2016-17",544,1690,3834,1694,1855,4649,4968,6775,23016,129,46,61,143,102,134,288,198,9617,5256
"93","70730_2013-14",8,11,83,198,14,170,144,893,2155,3,1,0,2,6,1,6,4,314,150
"94","70730_2014-15",9,8,89,184,10,158,142,488,2071,2,0,0,1,5,0,5,1,300,147
"95","70730_2015-16",10,7,94,177,29,190,127,378,1954,0,0,0,1,1,0,2,0,317,129
"96","70920_2013-14",574,291,4885,4448,850,5476,5572,2596,12612,55,58,8,110,334,35,305,240,11048,5877
"97","70920_2014-15",573,267,5018,4383,865,5544,5562,3479,13433,90,36,11,117,308,30,297,205,11106,5859
"98","70920_2015-16",596,236,5181,4227,916,5537,5619,2836,10948,99,45,6,139,267,36,264,229,11156,5883
"99","70920_2016-17",615,249,5347,4008,904,5540,5583,3895,8824,77,60,9,117,265,41,301,191,11123,5884
"100","71860_2014-15",12,2,1629,32,72,887,860,2205,8092,10,1,0,76,2,6,56,29,1747,916
"101","72140_2015-16",6,8,404,118,16,276,276,1225,1154,6,0,0,0,0,0,0,0,552,276
"102","72470_2014-15",10,16,134,201,12,186,187,143,986,1,0,0,0,0,0,0,0,373,187
"103","72520_2013-14",34,15,470,781,37,662,675,3525,5501,7,4,0,19,50,4,35,42,1337,710
"104","72520_2015-16",21,14,417,780,44,632,644,3179,4797,11,0,0,0,0,0,0,0,1276,644
"105","72520_2016-17",23,12,426,728,44,601,632,3365,4930,10,4,4,52,88,7,85,70,1233,717
"106","72710_2013-14",226,48,2869,1182,115,2180,2260,3754,13686,30,27,4,159,102,5,178,119,4440,2438
"107","72710_2014-15",226,47,2940,1141,126,2187,2293,4702,13636,54,21,1,157,85,4,153,115,4480,2446
"108","72710_2015-16",215,60,2990,1088,144,2205,2292,4095,13006,58,17,0,133,85,10,136,109,4497,2428
"109","72710_2016-17",222,63,3006,1033,164,2247,2241,3575,13003,56,17,5,160,94,11,184,103,4488,2425
"110","73460_2013-14",4958,238,1790,813,624,4083,4340,6836,10348,30,704,16,129,58,74,512,469,8423,4852
"111","73460_2014-15",4933,214,1785,801,640,4029,4344,4368,9981,34,662,15,138,65,64,497,447,8373,4841
"112","73460_2015-16",4783,210,1766,752,648,3922,4237,3796,11758,47,657,22,112,86,66,467,476,8159,4704
"113","73460_2016-17",4650,191,1811,697,692,3882,4159,3804,9365,30,659,10,133,78,72,523,429,8041,4682
"114","73650_2013-14",6050,322,1385,4828,1097,6560,7122,9539,25678,19,639,18,76,442,91,662,604,13682,7784
"115","73650_2014-15",6439,328,1417,4905,1146,6802,7433,8696,27120,33,825,20,87,495,131,785,773,14235,8218
"116","73650_2015-16",6756,327,1441,4946,1184,6970,7684,8154,26016,28,797,20,92,474,106,759,730,14654,8443
"117","73650_2016-17",7090,350,1488,4960,1326,7299,7915,7108,26881,25,806,14,79,530,121,823,727,15214,8738
"118","73890_2013-14",10,105,238,372,87,368,444,1327,4405,1,0,0,0,0,0,0,0,812,444
"119","73890_2014-15",12,103,227,322,89,368,385,2043,5272,6,1,5,7,6,4,17,6,753,402
"120","73890_2015-16",16,103,220,299,72,338,372,906,4497,5,1,4,6,4,2,9,8,710,381
"121","73890_2016-17",10,107,230,285,105,354,383,1550,5451,12,1,2,9,12,2,14,12,737,397
"122","73940_2013-14",193,57,1303,1657,140,1639,1711,601,6819,9,17,3,62,199,20,159,142,3350,1870
"123","73940_2014-15",185,57,1329,1523,158,1603,1649,1405,6639,17,27,1,49,151,20,141,107,3252,1790
"124","73940_2015-16",185,61,1350,1485,158,1606,1633,1054,6266,15,29,2,70,189,22,170,142,3239,1803
"125","73940_2016-17",174,58,1339,1385,170,1579,1547,1360,6909,15,24,8,73,168,20,172,121,3126,1719
"126","75200_2013-14",533,768,3872,5593,1242,5864,6144,7083,14980,59,57,51,268,480,130,547,439,12008,6691
"127","75200_2014-15",601,707,3914,5498,1243,5842,6121,8135,14020,104,95,63,268,474,107,573,434,11963,6694
"128","75200_2015-16",608,693,4006,5487,1270,5893,6171,7786,14625,93,74,67,294,535,125,622,473,12064,6793
"129","75200_2016-17",645,684,4129,5342,1360,5925,6235,8044,13796,110,74,57,336,533,139,642,497,12160,6877
"130","75390_2013-14",9,7,537,372,13,429,509,846,3347,8,1,0,25,28,0,29,25,938,538
"131","75390_2016-17",12,7,493,340,15,412,455,2308,3893,9,1,0,31,30,1,27,36,867,482
"132","75440_2013-14",12,6,2044,58,41,1038,1123,1834,6707,8,1,0,58,3,4,39,27,2161,1162
"133","75440_2015-16",15,13,2057,54,38,1037,1140,1637,6388,24,0,0,89,3,4,58,38,2177,1198
"134","75580_2013-14",16,13,350,556,25,432,528,1948,4897,37,2,0,19,38,0,33,26,960,561
"135","75580_2014-15",22,17,346,558,29,447,525,1764,3806,33,0,0,19,26,1,25,21,972,550
"136","75580_2015-16",20,15,329,543,26,428,505,2181,4968,36,1,1,16,33,0,34,17,933,539
"137","75580_2016-17",22,16,357,502,31,430,498,2094,5040,37,0,0,18,36,0,29,25,928,527
"138","76760_2015-16",356,133,287,387,333,737,759,3116,3751,9,1,1,2,4,4,5,7,1496,764
"139","76760_2016-17",492,141,322,402,398,879,876,2495,4334,15,29,10,14,14,28,49,46,1755,925
"140","76950_2016-17",3,3,140,100,17,147,116,341,429,1,1,0,0,5,0,4,2,263,120
